ga_sourcemedium,ga_date,ga_users_count,ga_sessions_count,ga_pageviews,ga_timeonpage_sec,ga_landingpage_anon
(direct) / (none),20220204,6,3,0,0,PAGE0001
(direct) / (none),20220205,4,4,0,0,PAGE0001
(direct) / (none),20220206,2,2,0,0,PAGE0001
(direct) / (none),20220207,7,5,0,0,PAGE0001
(direct) / (none),20220208,7,4,0,0,PAGE0001
(direct) / (none),20220209,7,7,0,0,PAGE0001
(direct) / (none),20220210,5,6,0,0,PAGE0001
(direct) / (none),20220204,108,127,426,31119,PAGE0002
(direct) / (none),20220205,36,39,108,7205,PAGE0002
(direct) / (none),20220206,45,47,259,24592,PAGE0002
(direct) / (none),20220207,128,148,575,47718,PAGE0002
(direct) / (none),20220208,124,136,561,47459,PAGE0002
(direct) / (none),20220209,99,125,504,44247,PAGE0002
(direct) / (none),20220210,142,174,666,59255,PAGE0002
(direct) / (none),20220206,1,1,4,141,PAGE0003
(direct) / (none),20220208,1,1,4,826,PAGE0004
(direct) / (none),20220208,1,1,29,3908,PAGE0005
(direct) / (none),20220208,1,1,11,1141,PAGE0006
(direct) / (none),20220209,1,1,5,1130,PAGE0007
(direct) / (none),20220207,1,1,1,0,PAGE0008
(direct) / (none),20220207,1,1,3,180,PAGE0009
(direct) / (none),20220207,1,1,1,11,PAGE0010
(direct) / (none),20220204,1,1,2,291,PAGE0011
(direct) / (none),20220207,1,1,1,0,PAGE0012
(direct) / (none),20220210,1,1,1,0,PAGE0013
(direct) / (none),20220204,2,3,7,2150,PAGE0014
(direct) / (none),20220206,2,2,2,0,PAGE0014
(direct) / (none),20220207,2,2,2,0,PAGE0014
(direct) / (none),20220209,3,3,5,575,PAGE0014
(direct) / (none),20220210,1,1,1,0,PAGE0014
(direct) / (none),20220204,1,1,3,58,PAGE0015
(direct) / (none),20220207,1,1,7,354,PAGE0016
(direct) / (none),20220208,1,1,1,0,PAGE0017
(direct) / (none),20220209,1,1,19,3930,PAGE0018
(direct) / (none),20220208,1,1,2,2,PAGE0019
(direct) / (none),20220206,1,1,46,564,PAGE0020
(direct) / (none),20220207,1,1,12,85,PAGE0020
(direct) / (none),20220204,1,1,3,198,PAGE0021
(direct) / (none),20220206,1,1,1,0,PAGE0021
(direct) / (none),20220208,2,2,3,56,PAGE0021
(direct) / (none),20220209,6,6,10,160,PAGE0021
(direct) / (none),20220210,1,1,5,193,PAGE0022
(direct) / (none),20220207,1,1,1,0,PAGE0023
(direct) / (none),20220204,1,1,45,9901,PAGE0024
(direct) / (none),20220208,2,2,5,232,PAGE0024
(direct) / (none),20220209,1,1,3,450,PAGE0024
(direct) / (none),20220210,2,2,10,2587,PAGE0024
(direct) / (none),20220209,1,1,8,774,PAGE0025
(direct) / (none),20220204,3,3,26,1624,PAGE0026
(direct) / (none),20220206,3,3,9,373,PAGE0026
(direct) / (none),20220207,2,2,12,4213,PAGE0026
(direct) / (none),20220208,3,3,10,1390,PAGE0026
(direct) / (none),20220209,4,5,80,7701,PAGE0026
(direct) / (none),20220210,5,9,59,8916,PAGE0026
(direct) / (none),20220208,2,2,28,7853,PAGE0027
(direct) / (none),20220210,1,1,1,0,PAGE0027
(direct) / (none),20220210,1,1,5,65,PAGE0028
(direct) / (none),20220207,1,1,1,0,PAGE0029
(direct) / (none),20220209,1,1,6,60,PAGE0030
(direct) / (none),20220209,1,1,1,0,PAGE0031
(direct) / (none),20220208,1,1,14,2416,PAGE0032
(direct) / (none),20220207,1,1,1,0,PAGE0033
(direct) / (none),20220209,1,1,1,0,PAGE0033
(direct) / (none),20220204,1,1,4,22,PAGE0034
(direct) / (none),20220205,1,1,3,239,PAGE0034
(direct) / (none),20220206,1,1,1,0,PAGE0034
(direct) / (none),20220207,6,6,6,0,PAGE0034
(direct) / (none),20220208,9,10,26,1322,PAGE0034
(direct) / (none),20220209,6,6,7,41,PAGE0034
(direct) / (none),20220210,1,1,7,232,PAGE0034
(direct) / (none),20220204,2,2,2,0,PAGE0035
(direct) / (none),20220206,1,1,18,2750,PAGE0035
(direct) / (none),20220206,1,1,1,0,PAGE0036
(direct) / (none),20220207,4,4,4,0,PAGE0036
(direct) / (none),20220208,2,2,10,346,PAGE0036
(direct) / (none),20220209,3,3,3,0,PAGE0036
(direct) / (none),20220210,1,1,1,418,PAGE0036
(direct) / (none),20220207,1,1,1,0,PAGE0037
(direct) / (none),20220209,1,1,1,0,PAGE0037
(direct) / (none),20220207,2,2,2,0,PAGE0038
(direct) / (none),20220209,1,1,1,0,PAGE0038
(direct) / (none),20220204,1,1,1,0,PAGE0039
(direct) / (none),20220207,1,1,5,862,PAGE0040
(direct) / (none),20220208,1,1,13,2356,PAGE0040
(direct) / (none),20220206,1,1,1,15,#VALUE!
(direct) / (none),20220205,1,1,2,9,PAGE0042
(direct) / (none),20220210,1,1,8,354,PAGE0043
(direct) / (none),20220208,1,1,1,0,PAGE0044
(direct) / (none),20220210,1,1,12,1585,PAGE0045
(direct) / (none),20220210,1,1,1,0,PAGE0046
(direct) / (none),20220210,1,1,1,0,PAGE0047
(direct) / (none),20220210,1,1,1,0,PAGE0048
(direct) / (none),20220209,1,1,1,0,PAGE0049
(direct) / (none),20220204,3,3,14,1467,PAGE0050
(direct) / (none),20220207,3,4,29,4876,PAGE0050
(direct) / (none),20220208,1,1,27,2721,PAGE0050
(direct) / (none),20220209,1,1,2,59,PAGE0050
(direct) / (none),20220208,1,1,7,761,PAGE0051
(direct) / (none),20220204,1,1,1,0,PAGE0052
(direct) / (none),20220207,1,1,1,0,PAGE0052
(direct) / (none),20220210,1,1,8,865,PAGE0053
(direct) / (none),20220209,1,1,1,0,PAGE0054
(direct) / (none),20220210,1,1,5,393,PAGE0055
(direct) / (none),20220209,1,2,6,127,PAGE0056
(direct) / (none),20220204,1,1,14,1218,PAGE0057
(direct) / (none),20220208,1,1,3,828,PAGE0058
(direct) / (none),20220204,1,1,1,0,PAGE0059
(direct) / (none),20220207,1,1,7,873,PAGE0060
(direct) / (none),20220209,1,1,1,0,PAGE0061
(direct) / (none),20220209,2,3,11,2508,PAGE0062
(direct) / (none),20220210,2,2,4,15,PAGE0062
(direct) / (none),20220206,1,1,1,0,PAGE0063
(direct) / (none),20220205,1,1,2,139,PAGE0064
(direct) / (none),20220208,1,1,13,1344,PAGE0065
(direct) / (none),20220204,1,1,1,0,PAGE0066
(direct) / (none),20220206,1,1,1,0,PAGE0067
(direct) / (none),20220204,2,2,5,643,PAGE0068
(direct) / (none),20220205,2,2,3,18,PAGE0068
(direct) / (none),20220206,1,1,2,17,PAGE0068
(direct) / (none),20220207,3,3,4,40,PAGE0068
(direct) / (none),20220208,4,4,4,0,PAGE0068
(direct) / (none),20220209,2,2,2,0,PAGE0068
(direct) / (none),20220210,5,5,8,84,PAGE0068
(direct) / (none),20220204,1,1,1,12,PAGE0069
(direct) / (none),20220207,1,1,5,189,PAGE0069
(direct) / (none),20220204,1,1,1,207,PAGE0070
(direct) / (none),20220208,2,2,3,39,PAGE0071
(direct) / (none),20220209,2,2,8,2285,PAGE0072
(direct) / (none),20220206,1,1,3,1740,PAGE0073
(direct) / (none),20220209,2,2,11,296,PAGE0074
(direct) / (none),20220204,1,1,1,0,PAGE0075
(direct) / (none),20220206,1,1,8,349,PAGE0076
(direct) / (none),20220207,1,2,11,202,PAGE0076
(direct) / (none),20220204,1,1,1,0,PAGE0077
(direct) / (none),20220208,1,1,2,0,PAGE0077
(direct) / (none),20220210,1,1,1,0,PAGE0077
(direct) / (none),20220204,1,1,2,0,PAGE0078
(direct) / (none),20220209,1,1,8,1491,PAGE0078
(direct) / (none),20220208,1,1,1,0,PAGE0079
(direct) / (none),20220209,1,1,1,0,PAGE0079
(direct) / (none),20220209,1,1,1,0,PAGE0080
(direct) / (none),20220210,1,1,1,0,PAGE0081
(direct) / (none),20220208,2,2,2,0,PAGE0082
(direct) / (none),20220209,1,1,1,0,PAGE0083
(direct) / (none),20220204,1,1,1,0,PAGE0084
(direct) / (none),20220204,1,1,1,0,PAGE0085
(direct) / (none),20220210,1,1,1,0,PAGE0086
(direct) / (none),20220205,1,1,1,0,PAGE0087
(direct) / (none),20220206,1,1,4,1003,PAGE0088
(direct) / (none),20220206,1,1,7,117,PAGE0089
(direct) / (none),20220206,14,14,22,205,PAGE0090
(direct) / (none),20220209,1,1,1,0,PAGE0091
(direct) / (none),20220206,1,1,1,0,PAGE0092
(direct) / (none),20220210,1,1,1,0,PAGE0092
(direct) / (none),20220206,1,1,1,0,PAGE0093
(direct) / (none),20220210,1,1,4,152,PAGE0094
(direct) / (none),20220210,2,3,3,0,PAGE0095
(direct) / (none),20220209,1,1,3,103,PAGE0096
(direct) / (none),20220208,1,1,1,0,PAGE0097
(direct) / (none),20220210,1,1,2,65,PAGE0098
(direct) / (none),20220206,2,2,2,0,PAGE0099
(direct) / (none),20220206,1,1,1,0,PAGE0100
(direct) / (none),20220208,1,1,1,0,PAGE0101
(direct) / (none),20220208,1,1,5,246,PAGE0102
(direct) / (none),20220209,2,2,2,0,PAGE0103
(direct) / (none),20220207,1,1,25,3704,PAGE0104
(direct) / (none),20220207,1,1,1,0,PAGE0105
(direct) / (none),20220207,1,1,1,0,PAGE0106
(direct) / (none),20220207,1,1,1,0,PAGE0107
(direct) / (none),20220204,1,2,2,0,PAGE0108
(direct) / (none),20220207,1,1,1,0,PAGE0109
(direct) / (none),20220208,1,1,1,0,PAGE0110
(direct) / (none),20220209,1,1,1,0,PAGE0111
(direct) / (none),20220207,1,1,1,0,PAGE0112
(direct) / (none),20220209,1,1,2,38,PAGE0112
(direct) / (none),20220209,2,2,2,0,PAGE0113
(direct) / (none),20220208,1,2,2,0,PAGE0114
(direct) / (none),20220209,1,1,2,8,PAGE0114
(direct) / (none),20220205,2,2,34,3677,PAGE0115
(direct) / (none),20220208,1,1,1,0,PAGE0116
(direct) / (none),20220209,1,1,1,0,PAGE0117
(direct) / (none),20220209,1,1,1,0,PAGE0118
(direct) / (none),20220205,6,6,20,1726,PAGE0119
(direct) / (none),20220205,1,1,1,0,PAGE0120
(direct) / (none),20220204,1,1,6,113,PAGE0121
(direct) / (none),20220206,1,2,2,0,PAGE0122
(direct) / (none),20220207,4,4,4,0,PAGE0123
(direct) / (none),20220208,1,1,1,0,PAGE0123
(direct) / (none),20220209,3,3,4,19,PAGE0123
(direct) / (none),20220210,4,4,4,0,PAGE0123
(direct) / (none),20220204,1,1,1,0,PAGE0124
(direct) / (none),20220209,1,1,6,46,PAGE0125
(direct) / (none),20220207,1,1,4,162,PAGE0126
(direct) / (none),20220208,1,1,1,0,PAGE0127
(direct) / (none),20220210,1,1,2,5,PAGE0127
(direct) / (none),20220210,1,1,1,0,PAGE0128
(direct) / (none),20220207,1,1,1,0,PAGE0129
(direct) / (none),20220205,1,1,3,64,PAGE0130
(direct) / (none),20220204,2,2,2,0,PAGE0131
(direct) / (none),20220206,1,1,1,0,PAGE0132
(direct) / (none),20220204,1,1,1,0,PAGE0133
(direct) / (none),20220204,1,1,1,0,PAGE0134
(direct) / (none),20220208,1,1,3,313,PAGE0135
(direct) / (none),20220204,1,1,31,4441,PAGE0136
(direct) / (none),20220204,1,1,1,0,PAGE0137
(direct) / (none),20220204,1,1,13,3103,PAGE0138
(direct) / (none),20220206,2,2,7,213,PAGE0138
(direct) / (none),20220207,1,1,1,0,PAGE0138
(direct) / (none),20220209,1,1,36,3753,PAGE0138
(direct) / (none),20220210,3,5,13,1929,PAGE0138
(direct) / (none),20220204,1,1,14,603,PAGE0139
(direct) / (none),20220206,1,1,1,0,PAGE0139
(direct) / (none),20220207,1,1,13,1230,PAGE0139
(direct) / (none),20220209,4,4,28,6059,PAGE0139
(direct) / (none),20220210,2,2,13,2512,PAGE0139
(direct) / (none),20220209,1,1,1,0,PAGE0140
(direct) / (none),20220210,1,1,21,4539,PAGE0141
(direct) / (none),20220209,1,1,7,842,PAGE0142
(direct) / (none),20220209,1,2,23,4379,PAGE0143
(direct) / (none),20220209,1,1,10,1898,PAGE0144
(direct) / (none),20220210,1,1,3,677,PAGE0145
(direct) / (none),20220210,1,1,1,0,PAGE0146
(direct) / (none),20220209,1,2,5,1576,PAGE0147
(direct) / (none),20220209,1,1,2,91,PAGE0148
(direct) / (none),20220204,1,1,2,663,PAGE0149
(direct) / (none),20220206,1,1,1,0,PAGE0149
(direct) / (none),20220208,1,1,22,639,PAGE0149
(direct) / (none),20220210,3,3,27,1558,PAGE0149
(direct) / (none),20220209,1,1,1,0,PAGE0150
(direct) / (none),20220210,1,1,16,1207,PAGE0151
(direct) / (none),20220206,1,1,1,0,PAGE0152
(direct) / (none),20220206,1,1,1,0,PAGE0153
(direct) / (none),20220208,1,2,5,953,PAGE0154
(direct) / (none),20220205,1,2,2,0,PAGE0155
(direct) / (none),20220207,1,1,2,21,PAGE0156
(direct) / (none),20220206,1,1,1,0,PAGE0157
(direct) / (none),20220204,1,1,8,140,PAGE0158
(direct) / (none),20220206,1,1,10,364,PAGE0159
(direct) / (none),20220210,1,1,1,0,PAGE0160
(direct) / (none),20220204,1,1,1,0,PAGE0161
(direct) / (none),20220206,2,2,2,0,PAGE0161
(direct) / (none),20220207,2,2,2,0,PAGE0161
(direct) / (none),20220210,1,1,6,383,PAGE0162
(direct) / (none),20220208,1,1,1,0,PAGE0163
(direct) / (none),20220206,1,1,1,0,PAGE0164
(direct) / (none),20220209,1,1,9,197,PAGE0164
(direct) / (none),20220208,1,1,1,0,PAGE0165
(direct) / (none),20220209,1,1,2,193,PAGE0165
(direct) / (none),20220206,1,1,1,0,PAGE0166
(direct) / (none),20220206,1,1,1,0,PAGE0167
(direct) / (none),20220207,1,1,4,97,PAGE0167
(direct) / (none),20220210,2,2,3,18,PAGE0167
(direct) / (none),20220208,1,1,1,0,PAGE0168
(direct) / (none),20220210,1,1,1,0,PAGE0169
(direct) / (none),20220208,1,1,1,0,PAGE0170
(direct) / (none),20220206,1,1,1,0,PAGE0171
(direct) / (none),20220209,1,1,2,13,PAGE0171
(direct) / (none),20220208,1,1,6,588,PAGE0172
(direct) / (none),20220210,1,1,1,0,PAGE0173
(direct) / (none),20220206,1,1,1,0,PAGE0174
(direct) / (none),20220208,1,1,2,11,PAGE0174
(direct) / (none),20220204,1,1,11,598,PAGE0175
(direct) / (none),20220210,1,1,1,0,PAGE0176
(direct) / (none),20220205,1,1,1,0,PAGE0177
(direct) / (none),20220210,1,1,1,0,PAGE0178
(direct) / (none),20220207,3,4,73,5184,PAGE0179
(direct) / (none),20220208,2,4,64,5313,PAGE0179
(direct) / (none),20220209,2,6,30,7305,PAGE0179
(direct) / (none),20220210,1,2,21,3899,PAGE0179
(direct) / (none),20220208,2,2,11,934,PAGE0180
(direct) / (none),20220209,1,2,24,5916,PAGE0180
(direct) / (none),20220204,1,1,1,0,PAGE0181
(direct) / (none),20220209,1,1,1,0,PAGE0182
(direct) / (none),20220208,1,1,1,0,PAGE0183
(direct) / (none),20220209,2,2,2,0,PAGE0184
(direct) / (none),20220205,1,1,1,0,PAGE0185
(direct) / (none),20220207,1,1,1,0,PAGE0186
(direct) / (none),20220204,15,15,32,1618,PAGE0187
(direct) / (none),20220205,5,5,7,0,PAGE0187
(direct) / (none),20220206,3,3,3,0,PAGE0187
(direct) / (none),20220207,27,28,29,451,PAGE0187
(direct) / (none),20220208,18,18,18,0,PAGE0187
(direct) / (none),20220209,27,27,57,2559,PAGE0187
(direct) / (none),20220210,31,33,84,9906,PAGE0187
(direct) / (none),20220207,1,2,7,950,PAGE0188
(direct) / (none),20220208,1,6,27,11199,PAGE0188
(direct) / (none),20220209,2,3,36,4649,PAGE0188
(direct) / (none),20220210,1,1,27,1447,PAGE0188
(direct) / (none),20220208,2,2,2,0,PAGE0189
(direct) / (none),20220207,1,1,6,2190,PAGE0190
(direct) / (none),20220210,1,1,3,59,PAGE0191
(direct) / (none),20220209,2,2,23,474,PAGE0192
(direct) / (none),20220209,1,1,1,0,PAGE0193
(direct) / (none),20220208,1,1,1,0,PAGE0194
(direct) / (none),20220209,1,1,6,1735,PAGE0194
(direct) / (none),20220204,1,1,1,0,PAGE0195
(direct) / (none),20220208,1,1,1,0,PAGE0195
(direct) / (none),20220204,1,1,4,703,PAGE0196
(direct) / (none),20220208,1,1,1,0,PAGE0197
(direct) / (none),20220210,1,1,1,0,PAGE0197
(direct) / (none),20220210,2,4,16,1585,PAGE0198
(direct) / (none),20220205,1,1,1,0,PAGE0199
(direct) / (none),20220206,1,1,1,0,PAGE0200
(direct) / (none),20220210,2,2,2,0,PAGE0201
(direct) / (none),20220206,1,1,1,0,PAGE0202
(direct) / (none),20220210,1,1,2,36,PAGE0202
(direct) / (none),20220204,1,1,1,0,PAGE0203
(direct) / (none),20220207,1,1,1,0,PAGE0204
(direct) / (none),20220204,1,1,2,9,PAGE0205
(direct) / (none),20220204,1,1,1,0,PAGE0206
(direct) / (none),20220204,1,1,1,0,PAGE0207
(direct) / (none),20220208,1,1,1,0,PAGE0207
(direct) / (none),20220209,1,1,1,0,PAGE0207
(direct) / (none),20220208,2,3,7,1566,PAGE0208
(direct) / (none),20220209,1,1,3,34,PAGE0208
(direct) / (none),20220204,1,1,1,0,PAGE0209
(direct) / (none),20220208,1,1,1,0,PAGE0209
(direct) / (none),20220209,1,1,1,0,PAGE0209
(direct) / (none),20220208,1,1,6,2894,PAGE0210
(direct) / (none),20220204,1,1,2,322,PAGE0211
(direct) / (none),20220206,1,1,1,0,PAGE0212
(direct) / (none),20220210,1,1,1,0,PAGE0213
(direct) / (none),20220209,1,1,1,0,PAGE0214
(direct) / (none),20220210,5,5,16,509,PAGE0214
(direct) / (none),20220209,1,1,1,0,PAGE0215
(direct) / (none),20220210,1,1,1,0,PAGE0215
(direct) / (none),20220204,1,1,1,0,PAGE0216
(direct) / (none),20220207,2,2,2,0,PAGE0216
(direct) / (none),20220207,4,4,4,0,PAGE0217
(direct) / (none),20220208,4,4,4,0,PAGE0217
(direct) / (none),20220209,1,1,1,0,PAGE0217
(direct) / (none),20220210,3,3,3,0,PAGE0217
(direct) / (none),20220208,1,1,1,0,PAGE0218
(direct) / (none),20220208,1,1,1,0,PAGE0219
(direct) / (none),20220209,2,2,14,2448,PAGE0220
(direct) / (none),20220207,2,2,2,0,PAGE0221
(direct) / (none),20220210,1,1,1,0,PAGE0221
(direct) / (none),20220204,4,4,4,0,PAGE0222
(direct) / (none),20220206,1,1,1,0,PAGE0222
(direct) / (none),20220207,7,7,7,0,PAGE0222
(direct) / (none),20220208,4,4,4,0,PAGE0222
(direct) / (none),20220209,4,4,5,141,PAGE0222
(direct) / (none),20220210,2,2,2,0,PAGE0222
(direct) / (none),20220208,2,2,2,0,PAGE0223
(direct) / (none),20220207,1,2,10,1575,PAGE0224
(direct) / (none),20220206,1,1,1,0,PAGE0225
(direct) / (none),20220207,1,1,1,0,PAGE0225
(direct) / (none),20220208,2,2,2,0,PAGE0225
(direct) / (none),20220206,1,1,2,1,PAGE0226
(direct) / (none),20220208,1,1,1,0,PAGE0226
(direct) / (none),20220207,1,1,7,180,PAGE0227
(direct) / (none),20220210,1,1,1,0,PAGE0227
(direct) / (none),20220208,1,1,2,47,PAGE0228
(direct) / (none),20220205,1,1,1,0,PAGE0229
(direct) / (none),20220207,1,1,1,0,PAGE0229
(direct) / (none),20220204,1,1,1,0,PAGE0230
(direct) / (none),20220208,5,5,8,1525,PAGE0230
(direct) / (none),20220204,2,2,2,0,PAGE0231
(direct) / (none),20220209,3,3,3,0,PAGE0231
(direct) / (none),20220204,1,1,1,0,PAGE0232
(direct) / (none),20220207,2,2,2,0,PAGE0232
(direct) / (none),20220210,3,3,14,566,PAGE0232
(direct) / (none),20220208,2,3,5,60,PAGE0233
(direct) / (none),20220204,3,3,10,343,PAGE0234
(direct) / (none),20220209,2,2,25,886,PAGE0234
(direct) / (none),20220204,4,4,4,0,PAGE0235
(direct) / (none),20220207,7,7,7,1,PAGE0235
(direct) / (none),20220208,1,1,1,0,PAGE0235
(direct) / (none),20220209,3,3,3,0,PAGE0235
(direct) / (none),20220210,7,7,7,0,PAGE0235
(direct) / (none),20220208,2,2,4,1,PAGE0236
(direct) / (none),20220204,1,1,1,0,PAGE0237
(direct) / (none),20220204,4,4,8,4,PAGE0238
(direct) / (none),20220205,2,2,3,0,PAGE0238
(direct) / (none),20220207,2,2,3,1,PAGE0238
(direct) / (none),20220208,4,4,7,0,PAGE0238
(direct) / (none),20220209,3,3,4,0,PAGE0238
(direct) / (none),20220210,6,6,11,2,PAGE0238
(direct) / (none),20220206,1,1,27,2510,PAGE0239
(direct) / (none),20220204,1,1,24,2373,PAGE0240
(direct) / (none),20220208,1,1,6,556,PAGE0241
(direct) / (none),20220204,1,1,3,466,PAGE0242
(direct) / (none),20220207,1,3,70,7542,PAGE0243
(direct) / (none),20220208,1,3,77,11181,PAGE0243
(direct) / (none),20220210,1,1,11,445,PAGE0243
(direct) / (none),20220208,1,1,2,10,PAGE0244
(direct) / (none),20220209,1,1,3,98,PAGE0245
(direct) / (none),20220210,1,1,8,401,PAGE0246
(direct) / (none),20220208,1,1,5,267,PAGE0247
(direct) / (none),20220210,1,1,1,0,PAGE0247
(direct) / (none),20220210,1,1,2,8,PAGE0248
(direct) / (none),20220204,1,1,1,0,PAGE0249
(direct) / (none),20220209,1,1,1,0,PAGE0249
(direct) / (none),20220204,1,1,9,2698,PAGE0250
(direct) / (none),20220208,2,2,6,73,PAGE0250
(direct) / (none),20220208,1,1,2,5,PAGE0251
(direct) / (none),20220206,2,2,10,225,PAGE0252
(direct) / (none),20220207,3,3,3,0,PAGE0252
(direct) / (none),20220209,1,1,18,319,PAGE0252
(direct) / (none),20220210,1,1,12,1046,PAGE0252
(direct) / (none),20220204,1,1,1,0,PAGE0253
(direct) / (none),20220206,1,1,1,0,PAGE0253
(direct) / (none),20220204,1,1,2,72,PAGE0254
(direct) / (none),20220205,1,1,7,849,PAGE0254
(direct) / (none),20220210,1,1,4,158,PAGE0255
(direct) / (none),20220207,1,1,2,1635,PAGE0256
(direct) / (none),20220207,2,2,2,0,PAGE0257
(direct) / (none),20220208,1,1,2,20,PAGE0258
(direct) / (none),20220209,1,1,5,2219,PAGE0259
(direct) / (none),20220204,1,1,4,702,PAGE0260
(direct) / (none),20220207,1,1,1,0,PAGE0261
(direct) / (none),20220209,1,1,1,0,PAGE0262
(direct) / (none),20220208,1,1,1,0,PAGE0263
(direct) / (none),20220209,1,1,1,0,PAGE0263
(direct) / (none),20220204,1,1,2,1324,PAGE0264
(direct) / (none),20220205,2,2,10,720,PAGE0265
(direct) / (none),20220206,2,2,48,207,PAGE0265
(direct) / (none),20220209,2,2,2,0,PAGE0265
(direct) / (none),20220210,2,2,45,129,PAGE0265
(direct) / (none),20220210,2,2,3,1116,PAGE0266
(direct) / (none),20220208,1,1,1,0,PAGE0267
(direct) / (none),20220207,1,1,2,31,PAGE0268
(direct) / (none),20220207,1,2,3,375,PAGE0269
(direct) / (none),20220209,1,1,2,13,PAGE0270
(direct) / (none),20220207,1,3,45,4490,PAGE0271
(direct) / (none),20220206,1,1,1,0,PAGE0272
(direct) / (none),20220206,1,1,1,0,PAGE0273
(direct) / (none),20220207,2,2,2,0,PAGE0273
(direct) / (none),20220209,1,1,1,0,PAGE0273
(direct) / (none),20220204,3,3,5,5,PAGE0274
(direct) / (none),20220206,2,2,2,0,PAGE0274
(direct) / (none),20220207,6,6,21,2761,PAGE0274
(direct) / (none),20220208,2,2,7,1480,PAGE0274
(direct) / (none),20220209,2,2,8,377,PAGE0274
(direct) / (none),20220210,3,3,6,221,PAGE0274
(direct) / (none),20220207,2,2,6,463,PAGE0275
(direct) / (none),20220209,2,2,2,0,PAGE0275
(direct) / (none),20220210,6,6,8,423,PAGE0275
(direct) / (none),20220210,1,1,7,426,PAGE0276
(direct) / (none),20220208,1,1,1,0,PAGE0277
(direct) / (none),20220209,1,1,5,831,PAGE0278
(direct) / (none),20220209,1,1,1,0,PAGE0279
(direct) / (none),20220208,1,1,4,51,PAGE0280
(direct) / (none),20220207,1,1,1,0,PAGE0281
(direct) / (none),20220204,1,1,1,0,PAGE0282
(direct) / (none),20220207,1,1,1,0,PAGE0282
(direct) / (none),20220207,1,1,1,0,PAGE0283
(direct) / (none),20220210,1,1,1,0,PAGE0283
(direct) / (none),20220207,1,1,6,1250,PAGE0284
(direct) / (none),20220208,1,2,18,1879,PAGE0285
(direct) / (none),20220208,1,1,1,125,PAGE0286
(direct) / (none),20220210,1,1,1,0,PAGE0287
(direct) / (none),20220207,1,1,9,2516,PAGE0288
(direct) / (none),20220210,1,1,1,0,PAGE0289
(direct) / (none),20220209,1,1,28,5589,PAGE0290
(direct) / (none),20220208,1,1,5,1471,PAGE0291
(direct) / (none),20220208,1,1,1,0,PAGE0292
(direct) / (none),20220204,1,1,1,0,PAGE0293
(direct) / (none),20220208,1,1,1,0,PAGE0294
(direct) / (none),20220210,1,1,1,0,PAGE0295
(direct) / (none),20220206,1,1,1,0,PAGE0296
(direct) / (none),20220210,1,1,6,1903,PAGE0297
(direct) / (none),20220206,1,1,1,0,PAGE0298
(direct) / (none),20220204,1,1,1,0,PAGE0299
(direct) / (none),20220204,1,1,1,0,PAGE0300
(direct) / (none),20220208,1,2,4,39,PAGE0300
(direct) / (none),20220204,1,1,1,0,PAGE0301
(direct) / (none),20220209,1,1,1,0,PAGE0301
(direct) / (none),20220206,1,1,4,361,PAGE0302
(direct) / (none),20220207,1,3,31,4528,PAGE0302
(direct) / (none),20220208,1,2,6,1811,PAGE0302
(direct) / (none),20220210,1,1,1,0,PAGE0303
(direct) / (none),20220209,1,1,1,0,PAGE0304
(direct) / (none),20220210,1,1,1,0,PAGE0305
(direct) / (none),20220210,1,1,1,0,PAGE0306
(direct) / (none),20220208,1,1,1,0,PAGE0307
(direct) / (none),20220209,3,3,3,0,PAGE0308
(direct) / (none),20220210,7,7,7,0,PAGE0308
(direct) / (none),20220210,1,1,1,0,PAGE0309
(direct) / (none),20220209,1,1,9,1867,PAGE0310
(direct) / (none),20220207,1,1,2,25,PAGE0311
(direct) / (none),20220208,1,1,2,20,PAGE0311
(direct) / (none),20220209,1,1,2,30,PAGE0311
(direct) / (none),20220205,1,1,1,0,PAGE0312
(direct) / (none),20220206,1,1,1,0,PAGE0313
(direct) / (none),20220208,1,1,7,928,PAGE0314
(direct) / (none),20220205,1,1,1,0,PAGE0315
(direct) / (none),20220205,1,1,1,0,PAGE0316
(direct) / (none),20220207,1,1,1,0,PAGE0317
(direct) / (none),20220205,1,1,1,0,PAGE0318
(direct) / (none),20220210,1,1,3,518,PAGE0319
(direct) / (none),20220209,1,1,1,0,PAGE0320
(direct) / (none),20220206,1,1,1,0,PAGE0321
(direct) / (none),20220210,1,1,1,0,PAGE0322
(direct) / (none),20220209,1,1,1,0,PAGE0323
(direct) / (none),20220206,1,1,1,0,PAGE0324
(direct) / (none),20220210,2,3,3,0,PAGE0325
(direct) / (none),20220206,1,1,2,18,PAGE0326
(direct) / (none),20220207,2,2,2,0,PAGE0327
(direct) / (none),20220207,1,1,1,0,PAGE0328
(direct) / (none),20220204,2,2,8,357,PAGE0329
(direct) / (none),20220209,1,1,5,171,PAGE0330
(direct) / (none),20220210,1,1,2,1500,PAGE0331
(direct) / (none),20220208,1,1,3,832,PAGE0332
(direct) / (none),20220208,1,1,1,0,PAGE0333
(direct) / (none),20220210,1,1,1,0,PAGE0334
(direct) / (none),20220204,1,1,1,0,PAGE0335
(direct) / (none),20220209,1,1,1,58,PAGE0336
(direct) / (none),20220210,2,2,15,5229,PAGE0336
(direct) / (none),20220210,1,1,1,0,PAGE0337
(direct) / (none),20220208,1,1,1,0,PAGE0338
(direct) / (none),20220204,1,1,1,0,PAGE0339
